C,1,POTUS,0.0298,0.2759,0.323,0.4835,1,1700,3400,1
C,2,Senator,0.0309,0.4849,0.3208,0.6151,1,1700,3400,1
C,3,Representative,0.032,0.6159,0.3208,0.702,1,1700,3400,1
C,4,Governor,0.0298,0.7267,0.3197,0.8469,1,1700,3400,1
C,5,SecState,0.3252,0.2138,0.6437,0.3478,1,1700,3400,1
C,6,Contest6,0.3241,0.3511,0.6426,0.4512,1,1700,3400,1
C,7,County,0.6481,0.3743,0.9711,0.4505,1,1700,3400,1
C,8,Contest1,0.0298,0.3426,0.3208,0.4948,1,1700,2800,2
C,9,Contest2,0.0298,0.5267,0.3208,0.6893,1,1700,2800,2
C,10,StateRep,0.0309,0.6954,0.3219,0.7939,1,1700,2800,2
C,11,Contest4,0.3252,0.273,0.6448,0.3498,1,1700,2800,2
C,12,Contest5,0.0309,0.088,0.3208,0.1719,2,1700,2800,2
C,13,Contest6,0.0309,0.1767,0.3197,0.2602,2,1700,2800,2
C,14,Contest7,0.0309,0.3347,0.3219,0.6013,2,1700,2800,2
C,15,Contest8,0.032,0.6066,0.3153,0.8484,2,1700,2800,2
C,16,Contest1,0.0749,0.2524,0.2458,0.3589,1,1500,2150,3
C,17,Contest2,0.0727,0.3608,0.2436,0.496,1,1500,2150,3
C,18,Contest3,0.0727,0.4977,0.2436,0.5869,1,1500,2150,3
O,1,Option1,0.0617,0.3337,0.0838,0.3422,1,1
O,2,Option2,0.0628,0.3632,0.0838,0.3712,1,1
O,3,Option3,0.0617,0.3923,0.0838,0.4003,1,1
O,5,Option5,0.0617,0.4215,0.0838,0.4308,1,1
O,6,Option6,0.0617,0.4513,0.0849,0.4601,1,1
O,7,Option7,0.0606,0.5098,0.0838,0.5175,2,1
O,8,Option8,0.0628,0.5257,0.0838,0.5329,2,1
O,9,Option9,0.0617,0.5392,0.0849,0.5478,2,1
O,10,Option10,0.0606,0.5544,0.0849,0.5624,2,1
O,11,Option11,0.0614,0.5835,0.0829,0.5918,2,1
O,12,Option12,0.0614,0.5838,0.0844,0.592,2,1
O,13,Option13,0.0614,0.6433,0.0829,0.6505,2,1
O,14,Option14,0.0617,0.643,0.0838,0.6506,3,1
O,15,Option15,0.0628,0.6576,0.0838,0.6658,3,1
O,16,Option16,0.0606,0.6717,0.0849,0.6796,3,1
O,17,Option17,0.0617,0.6871,0.0838,0.6942,3,1
O,18,Option18,0.0628,0.7604,0.0838,0.7681,4,1
O,19,Option19,0.0617,0.7748,0.0849,0.783,4,1
O,20,Option20,0.0606,0.7895,0.0849,0.7975,4,1
O,21,Option21,0.0606,0.8043,0.0849,0.8126,4,1
O,22,Option22,0.0606,0.8188,0.0849,0.8272,4,1
O,23,Option23,0.0606,0.8338,0.0849,0.8417,4,1
O,24,Option24,0.3549,0.2457,0.3781,0.2533,5,1
O,25,Option25,0.3549,0.2608,0.3792,0.2683,5,1
O,26,Option26,0.356,0.2748,0.3792,0.2823,5,1
O,27,Option27,0.356,0.2895,0.3781,0.2981,5,1
O,28,Option28,0.3549,0.304,0.3792,0.3123,5,1
O,29,Option29,0.3549,0.3188,0.3792,0.3271,5,1
O,30,Option30,0.356,0.3335,0.3781,0.3416,5,1
O,31,Option31,0.356,0.3781,0.3781,0.3861,6,1
O,32,Option32,0.3549,0.3929,0.3792,0.4004,6,1
O,33,Option33,0.3549,0.4073,0.3781,0.4155,6,1
O,34,Option34,0.356,0.4224,0.3781,0.4295,6,1
O,35,Option35,0.356,0.4365,0.3781,0.4443,6,1
O,36,Option36,0.679,0.4072,0.7021,0.4151,7,1
O,37,Option37,0.679,0.4218,0.7021,0.4295,7,1
O,38,Option38,0.6801,0.4375,0.7021,0.445,7,1
O,39,Option1,0.0617,0.3872,0.0838,0.3975,8,2
O,40,Option2,0.0606,0.4056,0.0849,0.4152,8,2
O,41,Option3,0.0617,0.4228,0.0849,0.4336,8,2
O,42,Option4,0.0606,0.4414,0.0849,0.4502,8,2
O,43,Option5,0.0628,0.4593,0.0838,0.4684,8,2
O,44,Option6,0.0617,0.478,0.0849,0.4861,8,2
O,45,Option7,0.0595,0.5665,0.0849,0.5758,9,2
O,46,Option8,0.0617,0.5845,0.0849,0.5942,9,2
O,47,Option9,0.0628,0.6018,0.0849,0.6114,9,2
O,48,Option10,0.0606,0.6201,0.0849,0.6289,9,2
O,49,Option11,0.0617,0.637,0.0849,0.647,9,2
O,50,Option12,0.0606,0.6548,0.0849,0.6652,9,2
O,51,Option13,0.0606,0.7267,0.0849,0.737,10,2
O,52,Option14,0.0617,0.745,0.0849,0.7547,10,2
O,53,Option15,0.0617,0.7624,0.0849,0.7721,10,2
O,54,Option16,0.0617,0.7805,0.0838,0.7901,10,2
O,55,Option17,0.3571,0.316,0.3781,0.3262,11,2
O,56,Option18,0.356,0.3341,0.3792,0.3431,11,2
O,57,Option19,0.0617,0.1378,0.0849,0.1478,12,2
O,58,Option20,0.0617,0.1548,0.0838,0.166,12,2
O,59,Option21,0.0606,0.227,0.0838,0.2368,13,2
O,60,Option22,0.0606,0.2445,0.0838,0.2537,13,2
O,61,Option23,0.0617,0.566,0.0838,0.5757,14,2
O,62,Option24,0.0617,0.5838,0.0849,0.5932,14,2
O,63,Option25,0.0617,0.8156,0.0838,0.8254,15,2
O,64,Option26,0.0617,0.8338,0.0838,0.8432,15,2
O,65,Option1,0.0772,0.2874,0.0871,0.2933,16,3
O,66,Option2,0.0772,0.3025,0.0871,0.3073,16,3
O,67,Option3,0.0772,0.318,0.0882,0.3231,16,3
O,68,Option4,0.0783,0.3326,0.086,0.338,16,3
O,69,Option5,0.0783,0.3486,0.0871,0.353,16,3
O,70,Option6,0.0772,0.3937,0.0871,0.3981,17,3
O,71,Option7,0.0772,0.4095,0.0871,0.4134,17,3
O,72,Option8,0.0772,0.424,0.0882,0.4297,17,3
O,73,Option9,0.076,0.4395,0.0871,0.4441,17,3
O,74,Option10,0.0783,0.4555,0.086,0.4603,17,3
O,75,Option11,0.0772,0.4702,0.0871,0.4756,17,3
O,76,Option12,0.0772,0.4851,0.0871,0.4905,17,3
O,77,Option13,0.0783,0.5301,0.0871,0.5357,18,3
O,78,Option14,0.0783,0.5456,0.0882,0.5506,18,3
O,79,Option15,0.0772,0.5611,0.0882,0.5662,18,3
O,80,Option16,0.0772,0.5757,0.0871,0.5817,18,3
