C,1,POTUS,0.0298,0.2759,0.323,0.4835,1,1700,3400
C,2,Senator,0.0309,0.4849,0.3208,0.6151,1,1700,3400
C,3,Representative,0.032,0.6159,0.3208,0.702,1,1700,3400
C,4,Governor,0.0298,0.7267,0.3197,0.8469,1,1700,3400
C,5,SecState,0.3252,0.2138,0.6437,0.3478,1,1700,3400
C,6,Contest6,0.3241,0.3511,0.6426,0.4512,1,1700,3400
C,7,County,0.6481,0.3743,0.9711,0.4505,1,1700,3400
O,1,Option1,0.0617,0.3337,0.0838,0.3422,1
O,2,Option2,0.0628,0.3632,0.0838,0.3712,1
O,3,Option3,0.0617,0.3923,0.0838,0.4003,1
O,5,Option5,0.0617,0.4215,0.0838,0.4308,1
O,6,Option6,0.0617,0.4513,0.0849,0.4601,1
O,7,Option7,0.0606,0.5098,0.0838,0.5175,2
O,8,Option8,0.0628,0.5257,0.0838,0.5329,2
O,9,Option9,0.0617,0.5392,0.0849,0.5478,2
O,10,Option10,0.0606,0.5544,0.0849,0.5624,2
O,11,Option11,0.0614,0.5835,0.0829,0.5918,2
O,12,Option12,0.0614,0.5838,0.0844,0.592,2
O,13,Option13,0.0614,0.6433,0.0829,0.6505,2
O,14,Option14,0.0617,0.643,0.0838,0.6506,3
O,15,Option15,0.0628,0.6576,0.0838,0.6658,3
O,16,Option16,0.0606,0.6717,0.0849,0.6796,3
O,17,Option17,0.0617,0.6871,0.0838,0.6942,3
O,18,Option18,0.0628,0.7604,0.0838,0.7681,4
O,19,Option19,0.0617,0.7748,0.0849,0.783,4
O,20,Option20,0.0606,0.7895,0.0849,0.7975,4
O,21,Option21,0.0606,0.8043,0.0849,0.8126,4
O,22,Option22,0.0606,0.8188,0.0849,0.8272,4
O,23,Option23,0.0606,0.8338,0.0849,0.8417,4
O,24,Option24,0.3549,0.2457,0.3781,0.2533,5
O,25,Option25,0.3549,0.2608,0.3792,0.2683,5
O,26,Option26,0.356,0.2748,0.3792,0.2823,5
O,27,Option27,0.356,0.2895,0.3781,0.2981,5
O,28,Option28,0.3549,0.304,0.3792,0.3123,5
O,29,Option29,0.3549,0.3188,0.3792,0.3271,5
O,30,Option30,0.356,0.3335,0.3781,0.3416,5
O,31,Option31,0.356,0.3781,0.3781,0.3861,6
O,32,Option32,0.3549,0.3929,0.3792,0.4004,6
O,33,Option33,0.3549,0.4073,0.3781,0.4155,6
O,34,Option34,0.356,0.4224,0.3781,0.4295,6
O,35,Option35,0.356,0.4365,0.3781,0.4443,6
O,36,Option36,0.679,0.4072,0.7021,0.4151,7
O,37,Option37,0.679,0.4218,0.7021,0.4295,7
O,38,Option38,0.6801,0.4375,0.7021,0.445,7
