C,1,POTUS,0.0298,0.2759,0.323,0.4835,1,1700,3400
C,2,Senator,0.0309,0.4849,0.3208,0.6151,1,1700,3400
C,3,Representative,0.032,0.6159,0.3208,0.702,1,1700,3400
C,4,Governor,0.0298,0.7267,0.3197,0.8469,1,1700,3400
C,5,SecState,0.3252,0.2138,0.6437,0.3478,1,1700,3400
C,6,Contest6,0.3241,0.3511,0.6426,0.4512,1,1700,3400
C,7,County,0.6481,0.3743,0.9711,0.4505,1,1700,3400
C,8,Attgen,0.3241,0.455,0.6448,0.5418,1,1700,3400
C,9,Contest9,0.3241,0.565,0.6437,0.643,1,1700,3400
C,10,Contest10,0.3252,0.6684,0.6437,0.7336,1,1700,3400
C,11,Contest11,0.3252,0.792,0.6426,0.8509,1,1700,3400
C,12,Contest12,0.3252,0.8517,0.6426,0.9189,1,1700,3400
C,13,Contest13,0.6459,0.2784,0.9667,0.3499,1,1700,3400
C,14,Contest14,0.6492,0.2132,0.9667,0.2767,1,1700,3400
C,15,Contest15,0.0298,0.1113,0.2623,0.3053,2,1700,3400
C,17,96,0.0287,0.4848,0.2612,0.67,2,1700,3400
C,18,Contest18,0.0309,0.3087,0.2612,0.4791,2,1700,3400
C,19,97,0.0287,0.7049,0.2623,0.9049,2,1700,3400
C,20,Contest20,0.2635,0.0698,0.4971,0.2567,2,1700,3400
C,21,Contest21,0.2657,0.264,0.4971,0.4794,2,1700,3400
C,22,Contest22,0.2657,0.4834,0.4971,0.6703,2,1700,3400
C,23,26-181,0.2646,0.734,0.4982,0.8451,2,1700,3400
C,24,Contest24,0.5004,0.0982,0.733,0.2134,2,1700,3400
C,25,Contest25,0.5004,0.2192,0.733,0.3311,2,1700,3400
C,26,Contest26,0.5004,0.3378,0.733,0.465,2,1700,3400
C,27,Contest27,0.5004,0.4702,0.7319,0.6114,2,1700,3400
C,28,Contest28,0.5004,0.6545,0.733,0.8172,2,1700,3400
C,29,Contest29,0.5004,0.8229,0.7319,0.9344,2,1700,3400
C,30,Contest30,0.7352,0.0794,0.9656,0.2141,2,1700,3400
