C,1,POTUS,0.0298,0.2759,0.323,0.4835,1,1700,3400
C,2,Senator,0.0309,0.4849,0.3208,0.6151,1,1700,3400
C,3,Representative,0.032,0.6159,0.3208,0.702,1,1700,3400
C,4,Governor,0.0298,0.7267,0.3197,0.8469,1,1700,3400
C,5,SecState,0.3252,0.2138,0.6437,0.3478,1,1700,3400
C,6,Contest6,0.3241,0.3511,0.6426,0.4512,1,1700,3400
O,1,Option1,0.0529,0.3305,0.0893,0.3463,1
O,2,Option2,0.0485,0.359,0.0893,0.3759,1
O,3,Option3,0.0507,0.3872,0.0882,0.4076,1
O,4,Option4,0.0496,0.4162,0.0882,0.4332,1
O,5,Option5,0.0485,0.4463,0.0871,0.4651,1
O,6,Option6,0.0518,0.5057,0.0882,0.5206,2
O,7,Option7,0.0507,0.5218,0.0904,0.5352,2
O,8,Option8,0.0551,0.5359,0.0904,0.5523,2
O,9,Option9,0.0518,0.5507,0.0893,0.5644,2
O,10,Option10,0.0496,0.5645,0.0893,0.5786,2
O,11,Option11,0.0485,0.5802,0.0882,0.5942,2
O,12,Option12,0.0408,0.5962,0.0915,0.6083,2
O,13,Option13,0.054,0.6381,0.0893,0.6538,3
O,14,Option14,0.0474,0.6527,0.0893,0.6681,3
O,15,Option15,0.0507,0.6685,0.0882,0.6819,3
O,16,Option16,0.0452,0.6832,0.0915,0.6964,3
O,17,Option17,0.0507,0.7569,0.0904,0.7708,4
O,18,Option18,0.0463,0.771,0.0926,0.7857,4
O,19,Option19,0.0584,0.7859,0.0893,0.801,4
O,20,Option20,0.0485,0.8006,0.0893,0.8144,4
O,21,Option21,0.0507,0.8149,0.0904,0.828,4
O,22,Option22,0.043,0.8314,0.0904,0.8426,4
O,23,Option23,0.3516,0.2411,0.3825,0.2549,5
O,24,Option24,0.3527,0.2583,0.3814,0.2685,5
O,25,Option25,0.3538,0.2735,0.3814,0.285,5
O,26,Option26,0.3527,0.2862,0.3814,0.2994,5
O,27,Option27,0.3461,0.3011,0.3836,0.3141,5
O,28,Option28,0.3505,0.3161,0.3836,0.3287,5
O,29,Option29,0.3494,0.3324,0.3825,0.3435,5
O,30,Option30,0.3483,0.3748,0.3847,0.3871,6
O,31,Option31,0.3461,0.3893,0.3847,0.4028,6
O,32,Option32,0.3494,0.4035,0.3836,0.4168,6
O,33,Option33,0.3483,0.4187,0.3836,0.4335,6
O,34,Option34,0.3461,0.4341,0.3825,0.4466,6
